rule_id,priority,condition_expr (human readable),route,show_field_set,next_action_label,notes
R_STOP_NO_URL,1,target_url is empty,STOP,STOP_MIN,入力不足：対象を入れて続ける,対象がないと着手できない
R_STOP_NO_ASK_TYPE,2,ask_type is empty,STOP,STOP_MIN,入力不足：今欲しい対応を選んで続ける,分岐はask_typeのみ
R_S1_ASK_TYPE,10,ask_type in (investigate confirm_spec rollback_check),STATE1,S1_GENERAL,原因確認依頼を作る,原因・仕様確認
R_S2_ASK_TYPE,11,ask_type in (estimate_fix fix_request),STATE2,S2_DISPLAY_FIX,修正依頼を作る,修正・見積
R_DEFAULT_S1,99,otherwise,STATE1,S1_GENERAL,原因確認依頼を作る,迷うものはSTATE1へ（事故防止）
